no,event_name,organizer,event_date,location,work_type,email_date
1,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP KW BIZ,SINASEAN VIETNAM,28/10/2025,,28/10/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B,2025-10-27
2,Thông Dịch Viên Foodexpo 2025,,,,,2025-10-23
3,사전자료 [통번역공작소X다인펌프] 베트남 호치민 물 박람회 2025,,,호치민,,2025-10-03
4,출입증[통번역공작소 x 다인펌프] 베트남 호치민 물 박람회 통역 섭외 관련,,2025년 10월 19일,호치민,,2025-09-09
5,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP Busan Cosmetic Business Association,SINASEAN VIETNAM,26/8/2025,"Bay Hotel - 7A Ngô Văn Năm, Street, Quận 1, Hồ Chí Minh",26&27/8/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại văn phòng doanh,2025-08-25
6,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP ULSAN 2025,SINASEAN VIETNAM,22/08/2025,Tầng 5 - Thiskyhall Sala Convention Center - 10 Đ. Mai Chí,20/08/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại văn phòng doanh,2025-08-20
7,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP MEGA-US EXPO 2025,SINASEAN VIETNAM,,"14,15,16 /08/2025 - 8:00 AM","14,15,16 /08/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B",2025-08-13
8,RE: 한베철도협력포럼 발표 관련 문의드립니다.,,2025-03-27,,,2025-07-31
9,MEGA-US EXPO 2025,MEGA-US EXPO 사무국,,,,2025-07-30
10,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP VIPREMIUM 2025,SINASEAN VIETNAM,12/06/2025,"799 Đ. Nguyễn Văn Linh, Tân Phú, Quận 7, Hồ Chí Minh",Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B Meeting,2025-06-11
11,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP ICT COMM 2025,SINASEAN VIETNAM,14/06/2025,12~14/06/2025 - thời gian tập trung cụ thể SINASEAN VIỆT NAM sẽ,12~14/06/2025: Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B,2025-05-24
12,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP Suwon Univ - 2024 Early Startup Package,SINASEAN VIETNAM,31/10/2024,7h45**(có mặt đúng giờ)*,Trợ lý ngôn ngữ trực tiếp tại văn phòng buyer Việt Nam,2024-10-30
13,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP Marine Industry Research Institut,SINASEAN VIETNAM,23/10/2024,8h00 (có mặt đúng giờ),Trợ lý ngôn ngữ trực tiếp tại văn phòng buyer Việt Nam,2024-10-22
14,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP GYEONGNAM TP,SINASEAN VIETNAM,02/10/2024,BAY HOTEL,Trợ lý ngôn ngữ tại văn phòng doanh nghiệp Việt Nam,2024-09-30
15,SỰ KIỆN GIAO THƯƠNG B2B NGÀNH THỰC PHẨM TẠI K FOOD FAIR 2024,SINASEAN VIETNAM,18/10/2024,"76 Lê Lai, Phường Bến Thành, Quận 1, TP.HCM",Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B Meeting,2024-09-17
16,SỰ KIỆN KOPIA 2024,SINASEAN VIETNAM,05/09/2024,"6-8-10, Hồ Huấn Nghiệp, Bến Nghé, Quận 1, Hồ Chí Minh 700000",Trợ lý ngôn ngữ tại văn phòng doanh nghiệp Việt Nam,2024-09-04
17,SỰ KIỆN KẾT NỐI B2B JEONBUK HÀN QUỐC 2024,SINASEAN VIETNAM,29/08/2024,,Trợ lý ngôn ngữ kết nối B2B trực tuyến,2024-08-28
18,SỰ KIỆN KẾT NỐI JEONBUK HÀN QUỐC 2024,SINASEAN VIETNAM,29/08/2024,,Trợ lý ngôn ngữ B2B trực tuyến,2024-08-26
19,"Chương trình IR Pitching, UBPI tháng 08 năm 2024",SINASEAN VIETNAM,23/08/2024,8h00- UBPI’s Pavilion INNOEX 2024 (Innovation & Green,Ngày 22 & 23/08/2024: Trợ lý ngôn ngữ tại UBPI Pavilion,2024-08-21
20,MEGA US EXPO 2024,,,,,2024-08-16
21,LỊCH TRÌNH KẾT NỐI DOANH NGHIỆP DAEJIN,SINASEAN VIETNAM,14/08/2024,7: 30 AM.- ALAGON D’ANTIQUE HOTEL & SPA,13/08/2024: Trợ lý ngôn ngữ trực tiếp tại văn phòng buyer Việt Nam,2024-08-12
22,GANGWON 08.2024,SINASEAN VIETNAM,08/08/2024,,Trợ lý ngôn ngữ B2B trực tuyến,2024-08-07
23,AITRICS (Export Voucher) 1~3 August Exhibition(SECC),SINASEAN VIETNAM,01/08/2024,Trung tâm triển lãm và hội nghị Sài Gòn (SECC) - Số,Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B Meeting,2024-07-31
24,KOSME Export Voucher 2(DAEJIN 대진정공),SINASEAN VIETNAM,14/08/2024,,14/08/2024: Phiên dịch và trợ lý ngôn ngữ trực tiếp tại văn phòng Buyer,2024-07-30
25,"(KOTRA) 20~25 suppliers, B2B matching(eco-friendly, energy)",SINASEAN VIETNAM,16/07/2024,"76 Lê Lai, Phường Bến Thành, Quận 1, TP.HCM",Phiên dịch & Trợ lý ngôn ngữ trực tiếp tại bàn B2B Meeting,2024-07-15
26,Thông Báo Xác Nhận và Hẹn Lịch Tiếp Theo cho chương trình Tuyển Dụng Thông Dịch Viên Mega Us Expo 20,,,White Palace,,2024-06-25
27,20240627 베트남 호치민시 KSRE 및 공과대학교 세미나 관련 문의,,,호치민,,2024-06-20
28,"EPECK, ELECTRIC POWER INDUSTRY EXPO, – 12/06/2024",SINASEAN VIETNAM,12/06/2024,,Meeting online qua Zoom.,2024-06-11
29,ĐĂNG KÝ THÔNG DỊCH VIÊN MEGA US EXPO 2024,,24/08/2024,White Palace,,2024-05-29
30,SECC 소방전시회 2022.08.18-20,,2022.08.18,SECC,,2022-08-13
